x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
0.43472463,0.29672858,-0.3307267,-1.1369547,0.80891716,-0.13510936,0.35305783,0.1896233,-0.47886017,-1.1039308,0.16440454,-0.23838654,-0.041902177,0.48696405,0.16855289,0.25711778,-0.6300221,-0.26441625,-0.5116011,-0.21720693,-0.9540825,0.31511253,0.31435987,0.3576032,-0.0377651,-0.03650221,-0.09710112,0.19146188,-1.0180763,0.37235096,0.49753368,-0.805281
0.17948097,0.074112356,-0.4114186,0.4636237,0.048058502,0.6465868,-0.7476499,-0.13293017,-0.30272198,0.75212526,0.14451581,-0.39855182,-0.03152818,-0.3176161,-0.39137802,0.28159907,0.5999525,-0.30795076,0.3107377,-0.058562376,0.6554408,-0.5411773,-0.09276878,-0.2972534,-0.23775938,0.027176296,-0.50098664,-0.5416113,0.95019686,-0.35488018,-0.31586462,0.6524563
-0.2329248,-0.30339962,0.2727919,0.15000781,-0.055123832,-0.37762803,0.4300326,0.22386268,0.22452173,0.013743251,0.060734317,0.58808845,0.03718478,-0.39679217,-0.14598048,0.61679363,-0.2772376,-0.19094792,0.30177385,0.55211276,0.39629626,-0.057487134,-0.34088966,-0.16102737,0.44293404,-0.5614992,0.62334585,-0.12877744,-0.043790143,0.2184634,-0.6327702,0.3217494
