x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31
0.5934684,0.13618378,0.10865487,-0.03235289,0.07267453,-0.15887034,-0.051256128,0.10350346,-0.24234813,0.1627807,0.03735419,-0.07374859,0.17934495,-0.082076535,-0.03716206,0.15532973,-0.19223051,-0.06326089,-0.059161566,-0.07723181,-0.4417639,0.19631279,-0.33440262,0.60243714,-0.2311632,0.60826033,-0.20573217,-0.29104438,0.23164393,0.13914733,0.15621838,0.05651186
0.10580956,-0.085551955,-0.18022293,0.017478889,-0.25661138,-0.07109212,0.5214948,0.36411625,-0.098808065,0.25952044,0.118458174,0.1984877,0.07846424,-0.123312846,0.42458412,0.2697422,0.001576541,0.19865787,-0.3707877,-0.17978202,-0.43597925,-0.16033413,0.08164717,-0.018702703,0.024536468,0.018142523,0.09508006,0.056493565,-0.480372,0.060807496,-0.324226,0.08323814
0.088538505,0.028284939,0.07142199,-0.1405491,-0.73101145,0.01152186,0.2597362,-0.034157123,-0.2941995,-0.47564295,0.06444838,0.21551773,0.16804186,0.19152907,0.25980756,0.2833611,-0.08323738,0.22413076,-0.19582964,-0.113232076,-0.04753004,-0.030017942,-0.13505544,0.33242187,-0.1623425,-0.12142229,0.090551175,-0.18100213,-0.58816534,-0.0122807175,0.49644542,0.082756765
